QUEST_20150317_000001	Por favor selecciona al usuario que necesita una actualización de misión.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM	
QUEST_20150317_000143	Puse una oración en mis lozas, una por una. {nl}De esa manera, las vasijas algún día se llenarán con las bendiciones de la diosa.	도자기 하나에 소원 하나씩 담는 것일세.{nl}그러다 보면 언젠간 여신의 은총이 이 도자기 전부에 가득 차겠지.				도자기 빚는 노인	
QUEST_20150317_000144	Los espadachines deben tener Fuerza, pero también puedes tener Destreza y Constitución. {nl}Tendrás que pensar con qué empezar.	검사 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림이나 강한 체력을 키울수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.					
QUEST_20150317_000145	Los magos trabajan con la Inteligencia, pero no deberían olvidar el Espíritu para lanzar más hechizos. {nl}Tendrás que elegir entre ser equilibrado o especializado.	마법사 계열이라면 역시 지능이죠.{nl}하지만 마법을 자주 사용하려면 정신력도 잊지 말아야 합니다.{nl}균형과 집중 중에서 잘 선택하셔야 해요.{nl}				정찰병	
QUEST_20150317_000146	Los arqueros deben tener Fuerza, pero Destreza evitará problemas de movimiento. {nl}Tendrás que pensar con qué empezar.	궁수 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림을 빼 놓을 순 없겠지만요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.{nl}					
QUEST_20150317_000147	Los clérigos trabajan con Inteligencia, pero pueden necesitar mucha Fuerza o Espíritu. {nl}Primero deberías decidir qué quieres.	성직자 계열이라면 역시 지능이죠.{nl}하지만 강한 힘이나 정신력이 필요할 수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 거예요.{nl}					
QUEST_20150317_000148	Maestro Doppelsoeldner	도펠죌트너 마스터					
QUEST_20150317_000149	Las cosas que valen la pena siempre conllevan cierto riesgo. {nl}Naturalmente, para obtener grandes recompensas, tendrás que soportar muchos peligros.	위험한 일일수록 가치 있는 경우가 많지.{nl}높은 보수를 원한다면 당연히 그만한 위험을 감당해야 할 줄도 알아야 하고.				도펠죌트너 마스터	
QUEST_20150317_000150	Maestro corsario	커세어 마스터					
QUEST_20150317_000151	No ayudaré a nadie en problemas si no hay nada para mí.	나에게 도움이 되는 일이 없다면 굳이 남을 돕는 고생을 할 필요는 없지.					
QUEST_20150317_000152	Roca	바위					
QUEST_20150317_000153	Una gran roca bloquea el camino.	커다란 바위로 막혀있다..				바위	
QUEST_20150317_000154	(Esto necesita ser reparado).	망가져 수리가 필요하다..					
QUEST_20150317_000155	Una roca bloquea el camino.	바위로 막혀있다..					
QUEST_20150317_000156	Material de investigación mágica	마법 연구 자료					
QUEST_20150317_000157	Parecen ser notas de investigación de alguien de Mage Tower. {nl}¿Debería copiarse?	마법사의 탑에 있던 어느 마법사가 쓴 듯한 연구 자료가 보인다.{nl}베껴갈까?				마법 연구 자료	
QUEST_20150317_000158	Esconderse y escabullirse no resolverá todos sus problemas. {nl}Un verdadero Scout también debe estar listo para luchar.	은신과 잠입에만 능하다고 만사가 아냐.{nl}전투기술도 갖추고 있어야 진정한 스카우트지.					
QUEST_20150317_000159	Necesitarás muchas cosas cuando viajes. {nl}Asegúrate de abastecerte de provisiones con antelación.	여행을 하다 보면 사소한 물건들이 아쉬울 때가 많지요. {nl}미리 충분히 사두는 것이 좋답니다.					
QUEST_20150317_000160	Si se disipa la magia de control, los mensajes divinos no estarán protegidos.	제어 마법의 주문이 끊긴다면 더 이상 계시를 지킬 수 없다.				수호자의 석상	
QUEST_20150317_000161	Monumento al ladrón olvidado	이름 모를 도둑의 비석					
QUEST_20150317_000162	Yo, Zubeck, dejo este epitafio. {nl}Por el honor de ser el mayor ladrón de la historia, desafié a un poderoso hechicero.	나 즈벡은 이 비문을 남긴다.{nl}최고의 도둑이라는 자부심을 걸고 역사상 가장 강력하다는 마법사에게 도전할 것이다.				이름 모를 도둑의 비석	
QUEST_20150317_000163	¿Pero podría yo, un simple ladrón, reclamar la victoria simplemente robándole? {nl}Quizás, si pudiera robarle al mayor archimago a ciegas.	하지만 이 내가 도둑질만 한다고 해서 성공이라 할 수 있을까?{nl}물론 위대한 대마법사를 상대로 그 정돈 훌륭한 성공이랄수도 있겠지.{nl}				이름 모를 도둑의 비석	
QUEST_20150317_000164	Sin embargo, no pude. {nl}I quería ser el ladrón número uno de toda la historia, no sólo de hoy.	하지만 나는 아니다. {nl}나는 당대 최고가 아니라 역사 제일의 도둑이고자 한다.{nl}				이름 모를 도둑의 비석	
QUEST_20150317_000165	Por fin descubrí una manera de entrar a la Torre de los Magos. {nl}To hacerlo hay que concentrar el poder mágico en un lugar específico. {nl}Ahora sólo me falta dar un paso decisivo más.	드디어 마법사의 탑으로 들어갈 방법을 찾았다.{nl}그건 특정 장소에 마력을 응집하는 것.{nl}이제는 결행만이 남았다.				이름 모를 도둑의 비석	
QUEST_20150317_000166	Entonces, mi dispositivo especial se activará. {nl}Si haces lo que hice yo, también podrás ingresar a la torre.	이제 곧 나의 특제 장치가 작동할 것이다.{nl}날 따라 한다면 그대도 마법사의 탑으로 들어갈 수는 있겠지.{nl}				이름 모를 도둑의 비석	
QUEST_20150317_000167	Después de eso, tú también podrás mostrarles a esos magos tontos un par de cosas. ¡Ja ja!	물론 그 후에 멍청한 마법사들 같은 건 알아서 해야 할 것이다. 하하!				이름 모를 도둑의 비석	
QUEST_20150317_000168	Los ladrones que entraron en esta torre fueron quemados vivos.  este monumento como advertencia a otros intrusos.  Agailla Ráfaga	교훈의 비석					
QUEST_20150317_000169	Los ladrones que entraron en esta torre fueron quemados vivos. {nl}Dejo este monumento como advertencia a otros intrusos. {nl}- Agailla Ráfaga	남의 탑을 침입하고 남의 물건을 손댄 어리석은 도적을 불태워 죽였다.{nl}허나 그의 비석은 침입자에 대한 경고로써 남겨두는 바이다. {nl} -아가일라 플러리-				교훈의 비석	
QUEST_20150317_000170	Reina Demonio Gesti	마왕 제스티					
QUEST_20150317_000171	Humanos insolentes.	인간 주제에 감히 내게.. {nl}				마왕 제스티	
QUEST_20150317_000172	Sólo espera. Este no es el final. {nl}Ora con tu corazón para que Laima salve este mundo.	두고 보아라. 아직 끝나지 않았으니까.{nl}라이마가 이 세계를 구하길 마음껏 빌어 보거라.				마왕 제스티	
QUEST_20150317_000173	Oficial de Kláipeda	클라페다 안내병					
QUEST_20150317_000174	Bienvenido, bienvenido. {nl}Sir Uska espera en la plaza central de Klaipeda. {nl}Oh, ¿necesitaste algo más primero?	어서 오시죠. 우스카님이 클라페다 중앙 광장에서 기다리고 계십니다.{nl}참, 미처 숙지하지 못한 사항이 있으십니까?				클라페다 안내병	
QUEST_20150317_000175	¿Quieres dirigirte inmediatamente a la puerta de Klaipeda?	클라페다 입구로 바로 이동하고 싶은 건가?{nl}잘 생각해 보게.				기사 티타스	
QUEST_20150317_000176	Operador Temporal	임시운영자					
QUEST_20150317_000177	Por favor cambia el estado de este personaje.	이 캐릭터의 상태값을 바꿔주세요				임시운영자	
QUEST_20150317_000178	¡Configuración OCULTAR/MOSTRAR NPC!	NPC HIDE/UNHIDE설정!				임시운영자	
QUEST_20150317_000179	Seguidor Algis	추종자 알기스					
QUEST_20150317_000180	El momento que la diosa predijo al primer Paladín finalmente ha llegado. {nl}Ven. Pregúntame cualquier cosa.	여신께서 초대 팔라딘에게 예견하신 순간이 찾아왔군.{nl}자, 뭐든 물어 보려므나.				추종자 알기스	
QUEST_20150317_000181	Hace mucho, mucho tiempo, hubo nómadas que sufrieron una plaga maldita. {nl}El honorable primer Paladín eliminó la maldición con una Reliquia Sagrada.	아주 먼 옛날에 역병의 저주를 받은 유목민이 떠돌고 있었단다.{nl}초대 팔라딘님께서 그들의 저주를 치유의 성물로 끊어 주셨어.{nl}				추종자 알기스	
QUEST_20150317_000182	Los Vigilantes son descendientes de esos nómadas. {nl}Sin embargo, la Reliquia Sagrada no estaba destinada a curar a esas personas.	파수꾼들이 바로 그 유목민들의 후예이지.{nl}하지만 성물의 본래 목적은 치유가 아니야.{nl}{nl}				추종자 알기스	
QUEST_20150317_000183	Un día, la diosa pidió al primer paladín que salvaguardara una revelación divina. {nl} Los nómadas malditos aparecieron justo cuando el paladín reflexionaba sobre cómo mantenerlo en secreto.	어느 날, 여신께선 초대 팔라딘에게 계시를 부탁하셨지.{nl}이걸 어떻게 감출까 고민하던 차에 나타난 게 저주받은 유목민이였어.{nl}				추종자 알기스	
QUEST_20150317_000184	Ellos y el primer Paladín hicieron tres promesas antes de romper la maldición.	초대 팔라딘님께선 저주를 끊어 주는 조건으로 세 가지 맹약을 내거셨지.{nl}				추종자 알기스	
QUEST_20150317_000185	Construir juntos la Iglesia Tenet. {nl}Tocultar la Reliquia Sagrada dentro de estos terrenos y adorar su santidad. {nl}Para reunirse y luchar juntos cuando el peligro se acerque a este lugar.	테넷 성당을 함께 지을 것. {nl}치유의 성물을 이 땅에 감춰 두고 성스럽게 모실 것.{nl}이 땅에 위험이 닥칠 때 함께 힘을 모아 싸울 것.{nl}				추종자 알기스	
QUEST_20150317_000186	Todo esto fue para proteger la revelación escondida en el santuario de la Iglesia Tenet.	이게 다 테넷 성당의 성소에 감춰져 있는 계시를 지키기 위한 거란다.				추종자 알기스	
QUEST_20150317_000187	La Santa Reliquia se creó originalmente para proteger la revelación como cebo. {nl}Con él, atraeremos a la Reina Demonio aquí y la destruiremos.	치유의 성물은 본디 계시를 지키려고 만들어진 거란다.{nl}이걸로 마왕을 유인해서 해치우는 것이지.{nl}				추종자 알기스	
QUEST_20150317_000188	Aunque puede pasar cualquier cosa. {nl}Si el plan falla, entonces la batalla final probablemente tendrá lugar en la Iglesia Tenet.	하지만 모든 건 만약이라는 게 있기 마련이거든.{nl}이 작전이 실패한다면 최후의 결전이 벌어질 장소는 아마 테넷 성당이 될 게야.				추종자 알기스	
QUEST_20150317_000189	Empeño	폰델					
QUEST_20150317_000190	¿Qué pasa?	무슨 일인데?				폰델	
QUEST_20150317_000191	¿En realidad?	정말?				폰델	
QUEST_20150317_000192	Empeño	폰드					
QUEST_20150317_000193	¿Qué pasó?	무슨 일이야?				폰드	
QUEST_20150317_000194	Gesti nos dijo que protegiéramos este lugar.	제스티님이 여기 지키라고 하셨어..				폰드	
QUEST_20150317_000195	Entonces, ¿qué hago ahora?	이제 뭘 해야하지?				폰델	
QUEST_20150317_000196	¿Es este el lugar correcto?	여기가 맞아?				폰드	
QUEST_20150317_000197	explicando	설명 중					
QUEST_20150317_000198	Compartió los detalles del fragmento de revelación encontrado en la Mina de Cristal.	수정광산에서 얻은 계시의 내용의 일부를 알려주었다					
QUEST_20150317_000199	No sé lo genial que fuiste en el pasado ni me importa. {nl}Aquí sigues las órdenes del Ejército Real, incluso tú, los Caballeros de Kaliss. {nl}¡Aquí nuestra palabra es ley!	당신의 과거행적이 얼마나 빛나는지 모르겠습니다만 여기선 왕국군의 통제를 따라 주셔야합니다.{nl}칼리스 기사단도 마찬가지 입니다. 여기선 왕령에 따라 우리가 곧 법입니다.					
QUEST_20150317_000200	Ladrón de tumbas Hubertas	도굴꾼 후베르타스					
QUEST_20150317_000201	Andar por estas ruinas me está volviendo loco. {nl}¿Por qué diablos vino aquí de todos modos?	이런 황폐한 곳에서 며칠씩 기다리고 있으려니 내가 미쳐가는 게 느껴져.{nl}형님은 대체 왜 안 오시는 거야!				도굴꾼 후베르타스	
QUEST_20150317_000202	Ladrón de tumbas Benjamín	도굴꾼 벤자미나스					
QUEST_20150317_000203	La gente nos llama ladrones de tumbas, pero nosotros preferimos llamarnos... arqueólogos, {nl} hurgando y aprovechando todos estos objetos que ya nadie usa. {nl}Es mejor que dejarlos pudrirse, ¿verdad?	우린 스스로를 고고학자라고 부르고 싶어하지만 다들 도굴꾼이라고 하지요.{nl}주인없는 물건들이 제가치를 찾을 수 있는 곳으로 옮겨주는 일은 어쩔땐 여신을 대변하기까지 합니다.{nl}누구에게나 여기 이렇게 굳어서 풍화되어 사라져가는 것보단 훨씬 나을 거에요.					
QUEST_20150317_000204	Un diario ciudadano	어느 시민의 일기					
QUEST_20150317_000205	Ha pasado un año desde que estalló la guerra civil. Los precios en la ciudad han aumentado dramáticamente. {nl}El comandante Ruklys ha pedido ayuda para restaurar los menguantes suministros de la ciudad. {nl}Ha pasado un tiempo desde que tuvimos buenas noticias. Se habla de que el rey Kadumel persigue al general. {nl}El estado de ánimo no cambiará pronto.	내전이 발발한 지 1년이란 시간이 지났다. 도시의 물가가 무척 올랐다. 루클리스 장군께서는 병참물자를 내놓아 부족한 도시의 물자를 보충한다고 한다. 그러나 모처럼 좋은 소식에도 카듀멜 국왕이 루클리스 장군을 노리고 친정을 하려 한다는 소문이 돌아서 사람들의 분위기는 그다지 좋지 않다.					
QUEST_20150317_000206	Informe de un centinela	어느 파수병의 일지					
QUEST_20150317_000207	Los puestos de guardia han sido reforzados en respuesta a los movimientos de las fuerzas del rey Kadumel en el país. {nl}Se ha confirmado que el rey comanda un gran ejército. {nl}Pero si el general Hayatin puede reunir suficientes soldados voluntarios, el rey incompetente probablemente se rendirá o se retirará.	카듀멜 국왕이 친정하면서 전황이 급박해져 초소의 경비가 더 강화되었다. 무능한 카듀멜이 많은 병력을 이끌고 온 것은 사실이지만. 하야틴 장군께서 지원병을 이끌고 오신다면 카듀멜은 항복하거나 도망치게 될 것이다.					
